adm0_src,iso_3,adm0_name,adm0_name1,meta_fb
ABW,ABW,Aruba (Neth.),Aruba,1
AFG,AFG,Afghanistan,Afghanistan,0
AGO,AGO,Angola,Angola,1
AIA,AIA,Anguilla (UK),Anguilla,1
ALA,ALA,Åland Islands (Fin.),Åland Islands,0
ALB,ALB,Albania,Albania,1
AND,AND,Andorra,Andorra,0
ARE,ARE,United Arab Emirates,United Arab Emirates,1
ARG,ARG,Argentina,Argentina,1
ARM,ARM,Armenia,Armenia,1
ASM,ASM,American Samoa (USA),American Samoa,1
ATA,ATA,Antarctica,Antarctica,0
ATF_1,ATF,Kerguelen Islands (Fr.),French Southern Territories,0
ATF_2,ATF,Crozet Archipelago (Fr.),French Southern Territories,0
ATF_3,ATF,Saint Paul and Amsterdam Islands (Fr.),French Southern Territories,0
ATF_4,ATF,Bassas da India (Fr.),French Southern Territories,0
ATF_5,ATF,Europa Island (Fr.),French Southern Territories,0
ATF_6,ATF,Glorioso Islands (Fr.),French Southern Territories,0
ATF_7,ATF,Juan de Nova Island (Fr.),French Southern Territories,0
ATF_8,ATF,Tromelin Island (Fr.),French Southern Territories,0
ATG,ATG,Antigua and Barbuda,Antigua and Barbuda,1
AUS_1,AUS,Australia,Australia,0
AUS_2,AUS,Ashmore & Cartier Islands (Aust.),Australia,0
AUS_3,AUS,Coral Sea Islands (Aust.),Australia,0
AUT,AUT,Austria,Austria,1
AZE,AZE,Azerbaijan,Azerbaijan,0
BDI,BDI,Burundi,Burundi,1
BEL,BEL,Belgium,Belgium,1
BEN,BEN,Benin,Benin,1
BES_1,BES,Bonaire (Neth.),"Bonaire, Sint Eustatius and Saba",0
BES_2,BES,Sint Eustatius (Neth.),"Bonaire, Sint Eustatius and Saba",0
BES_3,BES,Saba (Neth.),"Bonaire, Sint Eustatius and Saba",0
BFA,BFA,Burkina Faso,Burkina Faso,1
BGD,BGD,Bangladesh,Bangladesh,1
BGR,BGR,Bulgaria,Bulgaria,1
BHR,BHR,Bahrain,Bahrain,1
BHS,BHS,Bahamas,Bahamas,1
BIH,BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,1
BLM,BLM,Saint Barthélemy (Fr.),Saint Barthélemy,0
BLR,BLR,Belarus,Belarus,1
BLZ,BLZ,Belize,Belize,1
BMU,BMU,Bermuda (UK),Bermuda,0
BOL,BOL,Bolivia (Plurinational State of),Bolivia (Plurinational State of),1
BRA,BRA,Brazil,Brazil,1
BRB,BRB,Barbados,Barbados,1
BRN,BRN,Brunei Darussalam,Brunei Darussalam,1
BTN,BTN,Bhutan,Bhutan,1
BVT,BVT,Bouvet Island (Nor.),Bouvet Island,0
BWA,BWA,Botswana,Botswana,1
CAF,CAF,Central African Republic,Central African Republic,1
CAN,CAN,Canada,Canada,0
CCK,CCK,Cocos (Keeling) Islands (Aust.),Cocos (Keeling) Islands,0
CHE,CHE,Switzerland,Switzerland,1
CHL,CHL,Chile,Chile,1
CHN,CHN,China,China,0
CIV,CIV,Côte d'Ivoire,Côte d'Ivoire,1
CMR,CMR,Cameroon,Cameroon,1
COD,COD,Democratic Republic of the Congo,Democratic Republic of the Congo,1
COG,COG,Congo,Congo,1
COK,COK,Cook Islands (NZ),Cook Islands,0
COL,COL,Colombia,Colombia,-1
COM,COM,Comoros,Comoros,1
CPT,CPT,Clipperton Island (Fr.),Clipperton Island,0
CPV,CPV,Cabo Verde,Cabo Verde,1
CRI,CRI,Costa Rica,Costa Rica,1
CUB,CUB,Cuba,Cuba,0
CUW,CUW,Curaçao (Neth.),Curaçao,0
CXR,CXR,Christmas Island (Aust.),Christmas Island,0
CYM,CYM,Cayman Islands (UK),Cayman Islands,1
CYP,CYP,Cyprus,Cyprus,0
CZE,CZE,Czechia,Czechia,1
DEU,DEU,Germany,Germany,1
DJI,DJI,Djibouti,Djibouti,1
DMA,DMA,Dominica,Dominica,1
DNK,DNK,Denmark,Denmark,1
DOM,DOM,Dominican Republic,Dominican Republic,1
DZA,DZA,Algeria,Algeria,1
ECU,ECU,Ecuador,Ecuador,1
EGY,EGY,Egypt,Egypt,1
ERI,ERI,Eritrea,Eritrea,1
ESH,ESH,Western Sahara,Western Sahara,0
ESP_1,ESP,Spain,Spain,1
ESP_2,ESP,Canary Islands (Sp.),Spain,1
ESP_3,ESP,Plazas de soberanía (Sp.),Spain,1
EST,EST,Estonia,Estonia,1
ETH,ETH,Ethiopia,Ethiopia,1
FIN,FIN,Finland,Finland,1
FJI,FJI,Fiji,Fiji,1
FLK,FLK,Falkland Islands (Malvinas),Falkland Islands (Malvinas),0
FRA,FRA,France,France,1
FRO,FRO,Faroe Islands (Den.),Faroe Islands,1
FSM,FSM,Micronesia (Federated States of),Micronesia (Federated States of),1
GAB,GAB,Gabon,Gabon,1
GBR,GBR,United Kingdom of Great Britain and Northern Ireland,United Kingdom of Great Britain and Northern Ireland,1
GEO_1,GEO,Georgia,Georgia,1
GGY,GGY,Guernsey (UK),Guernsey,1
GHA,GHA,Ghana,Ghana,1
GIB,GIB,Gibraltar (UK),Gibraltar,1
GIN,GIN,Guinea,Guinea,1
GLP,GLP,Guadeloupe (Fr.),Guadeloupe,1
GMB,GMB,Gambia,Gambia,1
GNB,GNB,Guinea-Bissau,Guinea-Bissau,1
GNQ,GNQ,Equatorial Guinea,Equatorial Guinea,1
GRC,GRC,Greece,Greece,1
GRD,GRD,Grenada,Grenada,1
GRL,GRL,Greenland (Den.),Greenland,0
GTM,GTM,Guatemala,Guatemala,1
GUF,GUF,French Guiana (Fr.),French Guiana,1
GUM,GUM,Guam (USA),Guam,1
GUY,GUY,Guyana,Guyana,1
HKG,HKG,"Hong Kong, SAR China","Hong Kong, Special Administrative Region of China",1
HMD,HMD,Heard Island and McDonald Islands (Aust.),Heard Island and McDonald Islands,0
HND,HND,Honduras,Honduras,1
HRV,HRV,Croatia,Croatia,1
HTI,HTI,Haiti,Haiti,1
HUN,HUN,Hungary,Hungary,0
IDN,IDN,Indonesia,Indonesia,1
IMN,IMN,Isle of Man (UK),Isle of Man,1
IND,IND,India,India,1
IOT,IOT,British Indian Ocean Territory,British Indian Ocean Territory,0
IRL,IRL,Ireland,Ireland,1
IRN,IRN,Iran (Islamic Republic of),Iran (Islamic Republic of),0
IRQ,IRQ,Iraq,Iraq,1
ISL,ISL,Iceland,Iceland,1
ISR,ISR,Israel,Israel,0
ITA,ITA,Italy,Italy,1
JAM,JAM,Jamaica,Jamaica,1
JEY,JEY,Jersey (UK),Jersey,0
JOR,JOR,Jordan,Jordan,1
JPN,JPN,Japan,Japan,1
KAZ,KAZ,Kazakhstan,Kazakhstan,1
KEN,KEN,Kenya,Kenya,1
KGZ,KGZ,Kyrgyzstan,Kyrgyzstan,1
KHM,KHM,Cambodia,Cambodia,1
KIR,KIR,Kiribati,Kiribati,1
KNA,KNA,Saint Kitts and Nevis,Saint Kitts and Nevis,1
KOR,KOR,Republic of Korea,Republic of Korea,1
KWT,KWT,Kuwait,Kuwait,1
LAO,LAO,Lao People's Democratic Republic,Lao People's Democratic Republic,1
LBN,LBN,Lebanon,Lebanon,1
LBR,LBR,Liberia,Liberia,1
LBY,LBY,Libya,Libya,1
LCA,LCA,Saint Lucia,Saint Lucia,1
LIE,LIE,Liechtenstein,Liechtenstein,1
LKA,LKA,Sri Lanka,Sri Lanka,1
LSO,LSO,Lesotho,Lesotho,1
LTU,LTU,Lithuania,Lithuania,1
LUX,LUX,Luxembourg,Luxembourg,1
LVA,LVA,Latvia,Latvia,1
MAC,MAC,"Macao, SAR China","Macao, Special Administrative Region of China",1
MAF,MAF,Saint Martin (Fr.),Saint Martin (French Part),0
MAR,MAR,Morocco,Morocco,0
MCO,MCO,Monaco,Monaco,1
MDA,MDA,Republic of Moldova,Republic of Moldova,1
MDG,MDG,Madagascar,Madagascar,1
MDV,MDV,Maldives,Maldives,1
MEX,MEX,Mexico,Mexico,1
MHL,MHL,Marshall Islands,Marshall Islands,1
MKD,MKD,North Macedonia,North Macedonia,1
MLI,MLI,Mali,Mali,1
MLT,MLT,Malta,Malta,1
MMR,MMR,Myanmar,Myanmar,0
MNE,MNE,Montenegro,Montenegro,0
MNG,MNG,Mongolia,Mongolia,1
MNP,MNP,Northern Mariana Islands (USA),Northern Mariana Islands,1
MOZ,MOZ,Mozambique,Mozambique,1
MRT,MRT,Mauritania,Mauritania,1
MSR,MSR,Montserrat (UK),Montserrat,1
MTQ,MTQ,Martinique (Fr.),Martinique,1
MUS,MUS,Mauritius,Mauritius,1
MWI,MWI,Malawi,Malawi,1
MYS,MYS,Malaysia,Malaysia,1
MYT,MYT,Mayotte (Fr.),Mayotte,1
NAM,NAM,Namibia,Namibia,1
NCL,NCL,New Caledonia (Fr.),New Caledonia,1
NER,NER,Niger,Niger,1
NFK,NFK,Norfolk Island (Aust.),Norfolk Island,0
NGA,NGA,Nigeria,Nigeria,1
NIC,NIC,Nicaragua,Nicaragua,1
NIU,NIU,Niue (NZ),Niue,0
NLD,NLD,Netherlands,Netherlands,1
NOR,NOR,Norway,Norway,1
NPL,NPL,Nepal,Nepal,1
NRU,NRU,Nauru,Nauru,1
NZL,NZL,New Zealand,New Zealand,1
OMN,OMN,Oman,Oman,1
PAK,PAK,Pakistan,Pakistan,1
PAN,PAN,Panama,Panama,1
PCN,PCN,Pitcairn (UK),Pitcairn,1
PER,PER,Peru,Peru,1
PHL,PHL,Philippines,Philippines,1
PLW,PLW,Palau,Palau,1
PNG,PNG,Papua New Guinea,Papua New Guinea,1
